pants_description,Avg_Discount
"Men Diep Slim Fit Jeans",3249.00
"Men Devin Slim Fit Jeans",3249.00
"Men Bootcut Low Distress Jeans",3249.00
"Men David-3 Slim Fit Jeans",3244.00
"Men Bootcut Washed Jeans",3239.00
"Men Batten Slim Fit Jeans",3239.00
"Men Double-2 Slim Fit Jeans",3239.00
"Men Slim Fit Ultra Soft Jeans",3184.50
"Men Cumbris Slim Fit Jeans",3171.00
"Men Cotton Dad Fit Jeans",3169.50
"Men Rafail Slim Fit Jeans",3159.00
"Unisex Baggy Fit Jeans",3154.50
"Carpenter Baggy Jeans",3149.00
"Stretchable BaggyJeans",3149.00
"Baggy  Stretchable Jeans",3149.00
"Men Gracia Slim Fit Jeans",3149.00
"Men Pure Cotton Denim Cargos",3149.00
"Bleed Zero Slim Fit  Jeans",3145.00
"Men Slim Lightweight Jeans",3144.00
"Men Movado Slim Fit Jeans",3134.00
"Men Bron Primary Beige Jeans",3134.00
"Men Sam-2 Carrot Fit Jeans",3106.50
"Rory Men Cotton Baggy Jeans",3104.00
"Men Pure Cotton Skinny Jeans",3096.33
"Men Toke Slim Fit Jeans",3077.00
"Men Wells Slim Fit Jeans",3049.00
"Men Comfort Low Distress Jeans",3039.00
"Men Gaule Slim Fit Jeans",3039.00
"Men Calca Slim Fit Jeans",3035.00
"Men Dratt-2 Slim Fit Jeans",3024.00
"Men Snow Regular Fit Jeans",3024.00
"Men Avalon Slim Fit Jeans",3024.00
"AirFlex+ Original  Jeans",2999.00
"AirFlex+ Slim Jean Jeans",2999.00
"Men  plus size Jeans",2999.00
"Relaxed No Fade Jeans",2999.00
"Men Blue Horizon Valkyre Jeans",2999.00
"Men Grimm Slim Fit Jeans",2999.00
"Men Grana Slim Fit Jeans",2999.00
"Men Dijon Slim Fit Jeans",2999.00
"Men Alex Primary Jeans",2999.00
"Men Twix Slim Fit Jeans",2999.00
"Men Pelin Slim Fit Jeans",2999.00
"Urban Luxury Relaxed Fit Jeans",2990.00
"Unisex Straight Fit Jeans",2979.29
"Stretchable Denim Cargos Jeans",2974.00
