pants_description,Avg_Discount
"Men Relaxed Fit Applique Jeans",1832.00
"Straight Fit Denim Jeans",1832.00
"Men Straight Fit Low-Rise Jeans",1830.58
"Men Original Slim Fit Jeans",1829.00
"Men Original Mid-Rise Jeans",1829.00
"Drawstring Elasticated Jeans",1829.00
"Men Cropped Skinny Fit Jeans",1829.00
"Slim Fit Cotton Jeans",1829.00
"Men Slim Fit Cargo Joggers",1829.00
"Vapour Men Slim Fit Jeans",1829.00
"Faded Straight Fit Denim Jeans",1829.00
"Men Skinny Fit Capsule Jeans",1829.00
"Men Straight Fit Mid-Rise eans",1829.00
"Cotton Solid Skinny Fit Jeans",1829.00
"Light Grey Carrot Fit Denim",1829.00
"Men Bruce Fit Jeans",1829.00
"Loose Cotton Straight Jeans",1829.00
"Baggy Low-Rise denim pants",1829.00
"Cotton Straight Fit Jean",1829.00
"Men Boot Cut Fit Jeans",1829.00
"Men Light Blue Baggy Fit Jeans",1829.00
"Men Olive Mid-Rise Baggy Jeans",1829.00
"Men Bruce Straight Jeans",1829.00
"Men Skinny Fit Jackson Jeans",1829.00
"Men Slash Knee Printed Jeans",1829.00
"Loose Straight High Jeans",1829.00
"Men Tim Slim Fit Jeans",1829.00
"Men Wide Leg Trousers",1828.00
"Men Straight Low-Rise Jeans",1827.50
"Plus Size Stretchable Jeans",1826.63
"Men Comfort Low-Rise Jeans",1826.33
"Straight Fit Dark Shade Jeans",1826.00
"Men Jean Slim Fit Cotton Jeans",1825.67
"Flared Medium Wash Jeans",1823.00
"Men Low Distress Flared Jeans",1823.00
"Men Relaxed Fit Jeans",1820.85
"Men Loose Carrot Fit Jeans",1819.00
"Men Slouchy Fit Mid Rise Jeans",1819.00
"Men Stretchable  Jeans",1819.00
"Men Straight Fit Mid-Rise Jean",1817.00
"Men Black Cotton Jeans",1814.00
"Light Fade Boomerang Jeans",1814.00
"Regular Non Stretchable Jeans",1814.00
"Stretchable Boomerang Jeans",1814.00
"Men Flared High-Rise Jeans",1814.00
"Men Mid Rise Straight Jeans",1814.00
"Men Bootcut Light Fade Jeans",1812.83
"Men Highly Distressed Jeans",1807.71
"Slim Fit Light Fade Jeans",1805.36
"Men Oversized Fit Jeans",1803.00
"Men Denim Jeans",1802.33
"Men  Plus Size Cotton Jeans",1800.00
"Men Relaxed Fit Ombre Jeans",1800.00
"Regular Fit  Light Fade Jeans",1799.00
"Men Loose Fit High-Rise Jeans",1799.00
"Whiskered Men's Charcoal Jeans",1799.00
"Straight Leg Mid Rise Jeans",1799.00
"Men Narrow Fit Mid-Rise Jeans",1799.00
"Men Light Faded Slim Fit Jeans",1799.00
"Men Holborne Stretchable Jeans",1799.00
"Slim-Fit Mid-rise Jeans",1799.00
"Men Stretchable Whiskers Jeans",1799.00
"Comfort Fit Relaxed Fit Jeans",1799.00
"Loose Fit Cargo Styles Jeans",1799.00
"Mid-Rise Denim Jeans",1799.00
"Ankle Slim Fit Denim Jeans",1799.00
"Men Super Skinny Cotton Jeans",1799.00
"Loose-Fit Mid-Rise Jeans",1799.00
"Men Striped Cotton Jeans",1799.00
"Slim-Fit Light Faded Jeans",1799.00
"Men Mid-Rise Slim Fit Trousers",1799.00
"Men Wide Leg Plus Size Jeans",1799.00
"Men Clean Look Fit Jeans",1799.00
"Men Slim Fit Ripped Jeans",1798.86
"Men Mid Rise Tapered Fit Jeans",1798.00
"Men Mid-Rise Smart Fit Jeans",1798.00
"Men 513 Slim Straight Jeans",1796.60
"Men High-Rise Cargo Jeans",1795.40
"Men Slim Fit High Rise Jeans",1794.00
"Men Ben Skinny Fit Jeans",1792.33
"Straight Fit Mid-Rise Jeans",1789.47
"Slim Fit Stretchable Jeans",1789.23
"Men  Light Fade Mid-Rise Jeans",1784.00
"Men Tapered Fit Mid Rise Jeans",1781.22
"Men Smart Fit Jeans",1778.00
"Men Tapered Fit Cargo Jeans",1777.00
"Men Bostin Slim Fit Jeans",1774.00
"Men Anti Fit Mid-Rise Jeans",1773.87
"Mid-Rise Regular Fit  Jeans",1773.67
"Men Printed Skinny Fit Jeans",1769.00
"Men Tapered Fit Low-Rise Jeans",1767.18
"Men Mid-Rise Regular Fit Jeans",1765.49
"Men Mid-Rise Slim Fit Jeans",1765.22
"Men Regular Fit Checked Jeans",1764.00
"Men Whiskered Slim Fit Jeans",1764.00
"Men Urban Baggy Jeans",1763.00
"Men Plus Size Cargo Jeans",1763.00
"Men Bootcut Jeans",1761.41
"Men Skinny Fit Cotton Jeans",1759.79
"Skinny Fit Light Fade Jeans",1758.07
"Plus Size Jeans",1757.20
"Skinny Fit Stretchable Jeans",1755.74
"Loose Baggy Fit Cargo Jeans",1754.00
"Men Mid-Rise Joggers Jeans",1754.00
"Men 511 Slim Heavy Fade Jeans",1754.00
"Men 555'96 Relaxed Fit Jeans",1754.00
"Men Tapered Fit Mid-Rise Jeans",1750.75
"Men Dark Shade Jeans",1749.00
"Men Rovers Distressed Jeans",1749.00
"Men  Relaxed Fit Cargo Jeans",1749.00
"Men Slim Fit Dark Shade Jeans",1749.00
"Men Printed Cotton Cargo Jeans",1749.00
"Men Whiskers Cropped Jeans",1749.00
"Relaxed Fit Jogger Style Jeans",1747.00
"Mid-Rise Non Stretchable Jeans",1746.43
"Men Cat Scratches Cotton Jeans",1745.00
"Men Light Fade Mid-Rise Jeans",1743.59
"Men Plus Size Light Fade Jeans",1741.62
"Men Distressed Baggy Fit Jeans",1741.00
"Men Baggy Fit Mid Rise Jeans",1741.00
"Men Cotton Slim Fit  Jeans",1741.00
"Men Bootcut Cotton Jeans",1739.27
"Men Solid Slim Mid Rise Jeans",1739.00
"Men Norvil Vapour Slim Jeans",1739.00
"Men Washed Skinny Fit Jean",1739.00
"Men Boone Holborne Fit Jeans",1739.00
"Men Oversized Cargo Fit Jeans",1739.00
"Light Fade Cotton Jeans",1738.29
"Men Cotton Cropped Jeans",1737.00
"Men Clean Look Crinkle Jeans",1735.00
"Men Pure Cotton Relaxed  Jeans",1735.00
"Mid-Rise  Skinny Fit Jeans",1735.00
"Men Relaxed Carrot Fit Jeans",1735.00
"Men Tapered Cropped Fit Jeans",1735.00
"Men Connor Bootcut Jeans",1735.00
"Men Tapered Fit Cropped Jeans",1734.75
"Men Smart Skinny Fit Jeans",1729.00
"Men Smart Fit Low-Rise Jeans",1727.67
"Cropped Light Fade Jeans",1727.00
"Men F17 Jackson Skinny Jeans",1727.00
"Men Relaxed Fit Tapered Jeans",1727.00
"Men No Fade Cotton Jeans",1727.00
"Men Heavy Fade Cropped Jeans",1727.00
"Men Relaxed Straight Jeans",1727.00
"Highly Distress Mid-Rise Jeans",1724.00
"Men Slim Stretchable Jeans",1722.79
"Men Straight Fit Jeans",1721.57
"Men Oversize Grower Jeans",1721.00
"Men Buda Fit Printed Jeans",1721.00
"Men Cotton Heavy Fade Jeans",1720.56
"Men Comfort Barrel Fit Jeans",1719.00
"No Fade Cat Scratches Jeans",1719.00
"Men Baggy Low-Rise Jeans",1719.00
"Men's Cotton Skinny Fit Jeans",1719.00
"Jogger Fit Cargo Jeans",1719.00
"Men Mid-Rise ???????Jeans",1719.00
"Men Skinny Fit Mid Rise Crop",1719.00
"Men Printed Original Jeans",1714.00
"Men Grey Mid-Rise Baggy Jeans",1714.00
"Straight Fit Cotton Jeans",1711.33
"Men Skinny Fit Low-Rise Jeans",1710.74
"Men Washed Slim Fit Jeans",1710.33
"Men High-Rise Cargos Jeans",1709.00
"Men Straight Regular Jeans",1709.00
"Men Slim Fit Mid - Rise Jeans",1708.50
"Men Skinny Fit Jeans",1707.90
"Men Highly Distress Fade Jeans",1707.00
"Super Baggy Jeans",1707.00
"Regular Fit Denim Jeans",1705.67
"Cotton Baggy Straight Jeans",1704.00
"Men MJMankle Tapered Fit Jeans",1704.00
"Men Super Skinny Fit  Jeans",1702.57
"Men Straight Fit Cotton Jeans",1702.56
"Men Skinny Fit Mid-Rise Jeans",1701.46
"Wide Leg Mid-Rise Jeans",1700.10
"Slim Fit Clean Look Jeans",1699.25
"Slim Fit Non Stretchable Jeans",1699.00
"Men Mid RiseLow Distress Jeans",1699.00
"Low-Rise Cargo Jeans",1699.00
"Mid-Rise Low Distress  Jeans",1699.00
"Men Washed Slim Fit Jean",1699.00
"Comfort Flared Mid-Rise Jean",1699.00
"Men Baggy Light Fade  Jeans",1699.00
"Comfort Wide Leg Mid-Rise Jean",1699.00
"Overdyed Cargo Bootcut Jeans",1699.00
"Men Cross Pocket Trousers",1699.00
"Men Cotton Light Fade Jeans",1697.05
"Men Mid-Rise Straight Fit Jean",1695.00
"Men Skinny Cropped Fit Jeans",1694.60
"Men 365 Essentials Jeans",1693.00
"Men Skinny Fit Whiskers Jeans",1691.86
"Rodeo Stretchable Jeans",1691.00
"Men Mid Rise Skinny Jeans",1689.00
"Men Clean Look Whiskers Jeans",1688.69
"Men Skinny Heavy Fade Jeans",1688.67
"Heavy Fade Acid Wash Jeans",1687.00
"Relaxed Fit High-Rise Jeans",1686.92
"Slim Fit Mid-Rise Denim Jeans",1683.67
"Men Slim Straight Jeans",1680.17
"Heavy Fade Stretchable Jeans",1679.21
"Men Comfort Tapered Fit Jeans",1679.00
"Men's Mid-Rise Jeans",1679.00
"Men Oversized Jogger Jeans",1679.00
"Baggy Fit Stretchable Jean",1676.00
"Men's Cotton Relaxed Fit Jeans",1674.00
"Distressed Relaxed Fit Jeans",1674.00
"PlusSize Men Stretchable Jeans",1674.00
"Tapered High-Rise Jeans",1674.00
"Men Relaxed Fit Cotton  Jeans",1673.67
"Men Washed Regular Fit Jeans",1673.00
"Men Slim Fit Pure Cotton Jeans",1670.31
"Men Tapered Fit Cotton Jeans",1670.13
"Loose Lightweight Jeans",1670.00
"Men Brandon Slim Tapered Jeans",1669.67
"Men High-Rise Jeans",1669.19
"Men Rover Regular Fit Jeans",1669.00
"Men Super Slim Fit Jeans",1666.64
"Straight Fit Heavy Fade Jeans",1666.50
"Men Grey Baggy Fit Jeans",1666.00
"Men Relaxed Fit Mid-Rise Jeans",1665.80
"Men Relax Tapered Jeans",1664.50
"Men Light Fade Jeans",1664.31
"Pure Cotton Heavy Fade Jeans",1664.00
"Men Straight Heavy Fade Jeans",1664.00
"Men Millard Stretchable Jeans",1664.00
"Men Solid Knit Dobby Jeans",1664.00
"Men Regallo Skinny Fit Jeans",1663.30
"Men Mid-Rise StraightFit Jeans",1663.00
"Men Slouchy Jeans",1661.33
"Men Jackson Skinny Fit Jeans",1661.24
"Slim Fit Jeans",1661.06
"Mid-Rise Tapered Fit Jeans",1660.86
"Men Michael Slim Tapered Jeans",1658.69
"Men Cotton Bootcut Jeans",1657.00
"Men Cargo Stretchable Jeans",1656.60
"Men Mid-Rise Heavy Faded Jeans",1656.50
"Men Baggy Heavy Fade Jeans",1656.00
"Men Skinny Stretchable Jeans",1655.75
"Men Cole Tapered Fit Jeans",1655.00
"Men F17 Skinny Low-Rise Jeans",1655.00
"Men Brown Mid-Rise Baggy Jeans",1655.00
"Men Essentials Straight Jeans",1655.00
"Men Whiskers Stretchable Jeans",1651.50
"Men Anti Fit  Jeans",1651.00
"Men Slim Fit Jean",1651.00
"Men Wide Leg Stretchable Jeans",1649.00
"Washed Slim Tapered-Fit Jeans",1649.00
"Men Low-Rise Light Fade Jeans",1649.00
"Men Baggy Cargo Fit Jeans",1649.00
"Wide Leg Low-Rise Jeans",1649.00
"Slim Fit Mid Rise Jeans",1649.00
"Men Mi-Rise Slim Fit Jeans",1649.00
"Men Straight Fit Casual Jeans",1649.00
"Non Stretchable Jeans",1649.00
"Men Rodeo Mid-Rise Jeans",1649.00
"Men Fit Low Rise Jeans",1649.00
"Men Regular Fit Low Rise Jeans",1649.00
"Men Clean Look Bootcut Jeans",1649.00
"Men DJango Regular Fit Jeans",1649.00
"Men Straight Fit High-Rise",1649.00
"Men Loose Cargo Fit Jeans",1648.14
"Men Cotton Oversized Jeans",1646.67
"Men Slim Straight Fit Jeans",1644.36
"Striped Cargo Style Jeans",1644.00
"Relaxed Fit Light Fade Jeans",1643.86
"Men Super Skinny Fit Low-Rise Jeans",1642.20
"Men  Jackson Skinny Fit Jeans",1642.00
"Cream Baggy Fit Jeans",1642.00
"Men Baggy Fit Faded Jeans",1641.00
"Men Distressed Cotton Jeans",1641.00
"Mildly Distressed Cotton Jeans",1639.33
"Men Solid  Jeans",1639.00
"Black Cargo Denim",1639.00
"Men Low-Rise Acid Wash Jeans",1639.00
"Men Light Blue Baggy Jeans",1638.00
"Cotton Skinny Fit Jeans",1637.50
"Men Printed Distressed Jeans",1637.00
"Blue Slim Fit Jeans",1637.00
"Men Slim Fit Jeans",1635.48
"Men 513 Straight Fit Jeans",1633.50
"Blue Baggy Fit Denim Jeans",1632.00
"Men Cotton Lightly Faded Jeans",1630.00
"Men DJango Straight Fit Jeans",1628.75
"Men's Slim Fit Jeans",1628.00
"Men Theo Light Blue Jeans",1623.00
"Men Slim Tapered Michael Jeans",1623.00
"Men Low-Rise Denim Jeans",1623.00
"Men Embroidered Detail Jeans",1623.00
"Men Plain Loose Fit Jeans",1623.00
"Men Black Straight Fit Denim",1623.00
"Men Yonk Skinny Fit  Jeans",1623.00
"Men Blue Thread Slim Fit Denim",1623.00
"Blue Regular Fit Jeans",1623.00
"Navy Baggy Fit Jeans",1623.00
"Men Plus Size Cotton Jeans",1621.11
"Relaxed Fit Medium Jeans",1621.00
"Skinny Fit Low-Rise Jeans",1620.75
"Men Tapered Fit Jeans",1620.72
"Regular Fit Mid-Rise  Jeans",1619.00
"Men Skinny Fit Casual  Jeans",1619.00
"Men Comfort Light Fade Jeans",1619.00
"Men Mid Rise Slim Fit Jeans",1618.57
"Men Jeans",1618.55
"Men Straight Fit Jean",1618.50
"Blue Mid-Rise Baggy Jeans",1615.67
"Men Yonk Skinny Fit Jeans",1615.00
"Mid-Rise Light Fade Jeans",1614.94
"Light Blue Panneled Jeans",1614.00
"Relaxed Fit Low-Rise Jeans",1614.00
"Regular Fit Cotton Denim Jean",1614.00
"Men Slim Fit Heavy Fade Jeans",1611.83
"Men Henry Slim Fit Jeans",1611.50
"Men Blue Slim Fit Jeans",1611.10
"Grey Double Pocket Cargo Denim",1611.00
"Men Navy Slim Fit Jeans",1611.00
"Men Light Fade Baggy Jeans",1610.83
"Men Mid-Rise Flat-Front Jeans",1607.00
"Men Anti Fit Cargo Jeans",1607.00
"Men Plus Size Jeans",1606.65
"Men Low-Rise Stretchable Jeans",1602.57
"Men Light Fade Slim Fit Jeans",1600.83
"Men Blue Regular Fit Jeans",1600.00
"Baggy Fit Light Faded jeans",1599.00
"Men Cargo Carpenter Jeans",1599.00
"Highly Distress Faded Jeans",1599.00
"Men Loose Crop Jeans",1599.00
"Men Mid-Rise Regular Fit",1599.00
"Slim Fit Low-Rise Denim Jean",1599.00
"Men Printed Jeans",1599.00
"Men Slim Fit Mid Rise Trousers",1599.00
"Light Fade Slim Fit  Jeans",1599.00
"Men Baggy Cargos Jeans",1599.00
"Men Beige Plus Size Jeans",1599.00
"Cargo Carpenter Jeans",1599.00
"Men  Straight Fitted   Jeans",1599.00
"Men Plus Size Baggy Fit Jeans",1599.00
"Men Utility Denim Cargo Jeans",1599.00
"Men Mom Fit  Jeans",1599.00
"Slim Fit Low-Rise Jeans",1598.17
"Men Slim Fit Light Fade  Jeans",1594.33
"Mens Skinny Fit Cotton Jeans",1594.00
"Relaxed Fit Heavy Fade Jeans",1594.00
"Men Slim Tapered Fit  Jeans",1593.57
"Men Baggy Fit Cargo Jeans",1593.22
"Men Slim Fit Cotton Jeans",1593.03
"Men Stretchable Jogger",1592.33
"Straight Fit Low-Rise Jeans",1592.28
"Men Bootcut Clean Look Jeans",1592.00
"Blue Tapered Fit Jeans",1590.00
"Men Pleated Relaxed Fit Jeans",1589.00
"Super Baggy Acid Wash Jeans",1589.00
"Loose Straight Jeans",1587.33
"Men Comfort Fit Jeans",1586.11
"Men Faded Casual Jeans",1585.00
"Stretchable Bootcut Jeans",1583.75
"Wide Leg Mid-Rise Cotton Jeans",1583.00
"Men F19 Slim Tapered Jeans",1583.00
"Double Pocket Cargo Denim",1583.00
"Men F17 Skinny Mid-Rise Jeans",1583.00
"Men Relaxed Fit Denim Cargo",1581.25
"Men Comfort Slim Fit Jeans",1579.00
"Men Cotton Slim Fit Jeans",1575.20
"Men Anti Fit Pure Cotton Jeans",1575.00
"Men Clean Look Mid-Rise Jogger",1574.00
"Men Striped Mid Rise Jogger",1574.00
"Slim Straight Fit Jeans",1574.00
"Men Straight Fit MidRise Jeans",1574.00
"Men Jean Cotton Cargo Jeans",1574.00
"Plus Size Men Cotton Jeans",1573.33
"Men Straight Fit Faded Jeans",1569.00
"Barrel Loose Jeans",1569.00
"Men Cotton Relaxed Cargo Jeans",1569.00
"Men Stretchable Denim Jeans",1567.60
"Mid-Rise Medium Shade Wide Leg",1566.00
"Men Cargo Denim Jeans",1566.00
"Men Slim Fit  Jeans",1565.09
"Black Baggy Fit Denim Jeans",1565.00
"Men Anti Fit Heavy Fade Jeans",1565.00
"Men Pure Cotton Anti Jeans",1565.00
"Men Clean Look Cotton Jeans",1564.34
"Men Anti Fit Stretchable Jeans",1562.90
"Men Blue Light Fade Jeans",1562.33
"Men Heavy Fade Jeans",1562.29
"Men Slim Tapered Jeans",1561.43
"Men Stretchable Slim Fit Jeans",1561.00
"Cotton Regular Fit Jeans",1559.67
"Men Veu Slim Fit Jeans",1559.00
"Men Michael Tapered Fit Jeans",1559.00
"Men Slim Fit MidRise Jeans",1559.00
"Men Solid Mid-Rise  Jeans",1559.00
